"","soc_uni","soc","occupation","id","new_descript","word","definition"
"20","35-9021","35-9021.00","Dishwashers","11187","Put clean dishes, glasses, or pans in storage places.","storage","Somewhere to keep something for later use."
"21","35-9021","35-9021.00","Dishwashers","11190","Sweep or wash floors.",NA,NA
"22","35-9031","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"," 2297","Greet guests and seat them at tables or in waiting areas.",NA,NA
"23","35-9031","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"," 2296","Give menus to guests.","menu","A listing of foods that people can buy at a restaurant."
"24","35-9031","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"," 2305","Use cash registers to take payments for food and drink.",NA,NA
"25","37-3011","37-3011.00","Landscaping and Groundskeeping Workers"," 9594","Pick up and clear away litter.","litter","Things dropped on the ground, often trash."
"26","37-3011","37-3011.00","Landscaping and Groundskeeping Workers","20761","Use vehicles or power machines. Drive mowers, tractors, snow blowers, and more. Use chain-saws, clippers, cutters, and more.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"27","37-3011","37-3011.00","Landscaping and Groundskeeping Workers"," 9597","Keep sidewalks, driveways, and parking lots clear. Keep grounds looking good. Take care of fountains, planters, and more.",NA,NA
"28","39-2021","39-2021.00","Nonfarm Animal Caretakers"," 5075","Check animals for health problems. Watch for signs of illness or injury.",NA,NA
"29","39-2021","39-2021.00","Nonfarm Animal Caretakers"," 5079","Groom animals. Wash, brush, clip, and cut their fur. Cut their nails and clean their ears.",NA,NA
"30","39-2021","39-2021.00","Nonfarm Animal Caretakers"," 5087","Make sure animal holding areas are warm, cool, damp, or dry enough. Adjust controls to get the right setting.","damp","A little bit wet."
"31","39-3091","39-3091.00","Amusement and Recreation Attendants"," 5119","Sell tickets and collect fees from the public.",NA,NA
"32","39-3091","39-3091.00","Amusement and Recreation Attendants"," 5122","Use machines to clean and smooth the ice in skating and sports rinks.",NA,NA
"33","39-3091","39-3091.00","Amusement and Recreation Attendants"," 5131","Help people get on or off amusement park rides, boats, or ski lifts. Help people get on or off animals.","amusement park","A park with games, rides, booths, and food."
"34","41-2011","41-2011.00","Cashiers"," 2400","Take payments by cash, check, or credit card. Take vouchers and other forms of payment.","voucher","A note given in place of money."
"35","41-2011","41-2011.00","Cashiers"," 2401","Give buyers receipts and change owed. Give refunds and credits owed.","receipts","Records showing that payments were made or money is owed."
"36","41-2011","41-2011.00","Cashiers"," 2413","Sell tickets and other things to the public.",NA,NA
"37","41-2021","41-2021.00","Counter and Rental Clerks","  682","Greet customers. Find out what items they want to rent and how many they need.",NA,NA
"38","41-2021","41-2021.00","Counter and Rental Clerks","  681","Answer phones. Take orders and tell people what they need to know.",NA,NA
"39","41-2021","41-2021.00","Counter and Rental Clerks","  690","Rent items. Set up services for renters. Take back items that renters return.",NA,NA
"40","45-2093","45-2093.00","Farmworkers, Farm, Ranch, and Aquacultural Animals","13410","Feed and water livestock. Make sure there is enough food and water on hand.","livestock","Animals kept or raised on a farm or ranch."
"41","45-2093","45-2093.00","Farmworkers, Farm, Ranch, and Aquacultural Animals","13411","Drive trucks, tractors, and other equipment to bring feed to livestock.","livestock","Animals kept or raised on a farm or ranch."
"42","45-2093","45-2093.00","Farmworkers, Farm, Ranch, and Aquacultural Animals","13426","Keep records of growth, feeding, production, and costs.","production","The act of making something."
"43","45-4022","45-4022.00","Logging Equipment Operators"," 9807","Control hydraulic tractors that have tree clamps and booms. Use the equipment to lift, swing, and bunch trees that have been cut.","hydraulic","Powered by water or other liquids."
"44","45-4022","45-4022.00","Logging Equipment Operators"," 9807","Control hydraulic tractors that have tree clamps and booms. Use the equipment to lift, swing, and bunch trees that have been cut.","bunch","To put together in a group."
"45","45-4022","45-4022.00","Logging Equipment Operators"," 9806","Grade logs by following set standards. Give grades based on knot size, straightness, and more.",NA,NA
"46","45-4022","45-4022.00","Logging Equipment Operators"," 9808","Drive tractors and tree harvesters. Use them to cut the tops off of trees. Use them to cut tree branches and logs.",NA,NA
"47","47-3014","47-3014.00","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","13612","Clean work areas and machines.",NA,NA
"48","47-3014","47-3014.00","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","13613","Help masons and workers who paint, put up plaster, or hang paper and billboards. Do support tasks.",NA,NA
"49","47-3014","47-3014.00","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","13614","Tape, cover, and protect spots that could get stained or damaged by work.",NA,NA
"50","47-4071","47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","11602","Use cell phones, pagers, or radios to talk with bosses and workers.",NA,NA
"51","47-4071","47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","11601","Drive trucks to move workers, supplies, and equipment from place to place.",NA,NA
"52","47-4071","47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","11604","Use equipment to clean sewers. Use water jets, flushers, and more.",NA,NA
"53","47-5011","47-5011.00","Derrick Operators, Oil and Gas"," 9890","Check derricks for problems. Clean and oil them. Keep them in good working order.","derricks","Tower-like frames set up over drill holes."
"54","47-5011","47-5011.00","Derrick Operators, Oil and Gas"," 9899","Make mud reports. Tell crews how to handle any chemicals that must be used.",NA,NA
"55","47-5011","47-5011.00","Derrick Operators, Oil and Gas"," 9900","Put holding clamps on the ends of cables used to lift things into the air.",NA,NA
"56","47-5071","47-5071.00","Roustabouts, Oil and Gas"," 7118","Keep pipe deck and main deck clean and neat.",NA,NA
"57","47-5071","47-5071.00","Roustabouts, Oil and Gas"," 7119","Guide cranes to move loads about decks.",NA,NA
"58","47-5071","47-5071.00","Roustabouts, Oil and Gas"," 7120","Bring needed equipment to the rig floors. Help roughnecks.","roughnecks","Workers on an oil-drilling rig."
"59","51-3022","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers"," 8803","Separate meat, organs, and bone. Put them in their own containers. Seal the containers.","separate","To set apart."
"60","51-3022","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers"," 8807","Make foods that are ready to heat up and serve. Cut meat or fish into pieces. Prepare and add vegetables, sauces, or breading.",NA,NA
"61","51-3022","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers"," 8800","Make hamburger meat and meat trimmings.",NA,NA
"62","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","12121","Load machines that wash or dry-clean. Direct others to load the machines.",NA,NA
"63","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","12137","Mix bleaches with hot water in vats. Soak items until they are bleached.","bleach","A chemical that makes things turn white."
"64","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","12137","Mix bleaches with hot water in vats. Soak items until they are bleached.","vats","Big containers."
"65","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","12134","Spread dirty items on work tables. Place them so that stains can be cleaned.",NA,NA
"66","53-3041","53-3041.00","Taxi Drivers and Chauffeurs"," 3166","Make sure vehicle equipment is working well. Check lights, brakes, horns, wipers, and more.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"67","53-3041","53-3041.00","Taxi Drivers and Chauffeurs"," 3183","Turn the meter on when riders enter the cab. Turn it off when riders reach where they are going.",NA,NA
"68","53-3041","53-3041.00","Taxi Drivers and Chauffeurs"," 3180","Take fares or vouchers from riders. Give back change or receipts, as needed.","voucher","A note given in place of money."
"69","53-3041","53-3041.00","Taxi Drivers and Chauffeurs"," 3180","Take fares or vouchers from riders. Give back change or receipts, as needed.","receipts","Records showing that payments were made or money is owed."
"70","53-7011","53-7011.00","Conveyor Operators and Tenders","10757","Use your hands to load, unload, and move products on conveyors. Use lifts and open gates.","conveyors","Machines that move products from one place to another, often rolling them along a belt."
"71","53-7011","53-7011.00","Conveyor Operators and Tenders","10756","Take samples of products. Check to make sure they meet standards, or send them to a lab for testing.","lab","Short for laboratory. A place where tests are done."
"72","53-7011","53-7011.00","Conveyor Operators and Tenders","10752","Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.","schedule","A list of times and dates when tasks will get done."
"73","53-7011","53-7011.00","Conveyor Operators and Tenders","10752","Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.","delivered","Sent or brought to a buyer."
"74","53-7011","53-7011.00","Conveyor Operators and Tenders","10752","Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.","arrange","Put something in order; fit together."
"75","53-7011","53-7011.00","Conveyor Operators and Tenders","10752","Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.","pallet","A low platform or board."
"76","11-9051","11-9051.00","Food Service Managers"," 1080","Make sure food is prepared the right way. Check that the right amount is made and that the food looks good.",NA,NA
"77","11-9051","11-9051.00","Food Service Managers","15199","Count money and put it in a bank account.",NA,NA
"78","11-9051","11-9051.00","Food Service Managers"," 1098","Greet guests and show them to their seats. Give them menus and wine lists.","menu","A listing of foods that people can buy at a restaurant."
"79","23-2093","23-2093.00","Title Examiners, Abstractors, and Searchers"," 9231","Check records such as deeds, maps, contracts, and more. Find out legal facts about a house, building, or land. Check how it is described, who owns it, and more.",NA,NA
"80","23-2093","23-2093.00","Title Examiners, Abstractors, and Searchers"," 9234","Check property titles. Find out if there are taxes owed or limits on how a property can be used.","title","Proof that you own something."
"81","23-2093","23-2093.00","Title Examiners, Abstractors, and Searchers"," 9230","Make lists of all signed legal papersabout a piece of land and the buildings on it.",NA,NA
"82","27-1023","27-1023.00","Floral Designers"," 1722","Choose flowers and plants to put together and display. Come up with different mixes and ways to arrange them.","display","Put something out for people to see."
"83","27-1023","27-1023.00","Floral Designers"," 1722","Choose flowers and plants to put together and display. Come up with different mixes and ways to arrange them.","arrange","Put something in order; fit together."
"84","27-1023","27-1023.00","Floral Designers"," 1721","Water plants. Cut and clean flowers and plants and get them ready for storage.","storage","Somewhere to keep something for later use."
"85","27-1023","27-1023.00","Floral Designers"," 1726","Keep records and do office tasks. Help customers, answer phones, make sales, and take payments.",NA,NA
"86","27-2011","27-2011.00","Actors"," 7646","Work with other actors as part of a group or team.",NA,NA
"87","27-2011","27-2011.00","Actors"," 7651","Sing or dance. Act in comedies or dramas.","comedies","Shows that are funny."
"88","27-2011","27-2011.00","Actors"," 7651","Sing or dance. Act in comedies or dramas.","dramas","Shows that are serious."
"89","27-2011","27-2011.00","Actors"," 7653","Promote plays and movies by talking to the press.","promote","To get something noticed."
"90","27-3012","27-3012.00","Public Address System and Other Announcers","20891","Pick and play music that is right for the crowd.",NA,NA
"91","27-3012","27-3012.00","Public Address System and Other Announcers"," 7702","Tell the crowd about changes to a program, game, or event.",NA,NA
"92","27-3012","27-3012.00","Public Address System and Other Announcers"," 7711","Give info to workers who run the scoreboard at a game.",NA,NA
"93","29-2051","29-2051.00","Dietetic Technicians"," 4164","Keep track of how much food a patient eats. Report progress and problems to dietician.","dietician","An expert on healthy eating."
"94","29-2051","29-2051.00","Dietetic Technicians"," 4165","Make a major meal. Follow recipes. Figure out how much food and what kind of food is needed.","recipe","Instructions that tell you how to make a meal."
"95","29-2051","29-2051.00","Dietetic Technicians"," 4167","Make sure food is prepared and served in the right way. Help dietary and nutrition aides plan or guide food service.","dietary and nutrition aides","People who help with programs for healthy eating."
"96","31-1011","31-1011.00","Home Health Aides"," 4240","Keep records about patient care. Track patients’ health and progress. Report and discuss problems with the person in charge.",NA,NA
"97","31-1011","31-1011.00","Home Health Aides","20577","Bathe and wash patients.",NA,NA
"98","31-1011","31-1011.00","Home Health Aides","18695","Give patients prescribed drugs to swallow. Make sure they take the drugs. Follow written orders from a doctor, nurse, or aide.","prescribed","Ordered by a doctor."
"99","31-1013","31-1013.00","Psychiatric Aides","20578","Listen to patients with mental health problems. Support their feelings and encourage them.","encourage","To cheer on and support."
"100","31-1013","31-1013.00","Psychiatric Aides","18696","Check on the well-being of mental health patients. Make sure they aren’t acting in a harmful or unusual way. Report findings to staff in charge.","unusual","Not normal."
"101","31-1013","31-1013.00","Psychiatric Aides","18698","Enter doctors’ orders into a computer. Answer phones calls. Keep track of health info. Do office tasks.",NA,NA
"102","31-1014","31-1014.00","Nursing Assistants","19317","Respond to patients who ask for help. Answer call lights, bells, and intercoms.","intercom","A sound system that someone can speak through."
"103","31-1014","31-1014.00","Nursing Assistants","19334","Remind patients to take prescribed drugs. Make sure they eat any supplements needed.","prescribed","Ordered by a doctor."
"104","31-1014","31-1014.00","Nursing Assistants","19334","Remind patients to take prescribed drugs. Make sure they eat any supplements needed.","supplement","Something added to a person’s diet."
"105","31-1014","31-1014.00","Nursing Assistants","19335","Make sure patients’ rooms have basic care items. Those items include towels, soap, toilet paper, and more.",NA,NA
"106","31-1015","31-1015.00","Orderlies","19366","Move patients in wheelchairs, stretchers, and beds with wheels. Bring them to get treatments, tests, surgery, and more.",NA,NA
"107","31-1015","31-1015.00","Orderlies","19356","Clean equipment and supplies to get rid of germs. Use equipment or products that kill germs.","germ","A tiny living thing that spreads illness."
"108","31-1015","31-1015.00","Orderlies","19353","Clean equipment, wheelchairs, beds, and more. Keep a record of repairs or fixes needed.",NA,NA
"109","31-2022","31-2022.00","Physical Therapist Aides"," 4273","Clean and tidy work areas after treatment. Use cleaning products that kill germs.","tidy","To make something neat."
"110","31-2022","31-2022.00","Physical Therapist Aides"," 4273","Clean and tidy work areas after treatment. Use cleaning products that kill germs.","germ","A tiny living thing that spreads illness."
"111","31-2022","31-2022.00","Physical Therapist Aides"," 4275","Teach patients how to do health exercises. Make sure they exercise safely. Help them and cheer them on. Follow orders from medical staff.","health exercises","Ways to move your body to make it strong or healthy."
"112","31-2022","31-2022.00","Physical Therapist Aides"," 4279","Keep track of patients’ treatments. Keep track of equipment used.",NA,NA
"113","31-9093","31-9093.00","Medical Equipment Preparers"," 4293","Run steam machines that kill germs. Keep records of items cleaned in machines. Make sure machines stay in good working order. Keep track of upkeep.","germ","A tiny living thing that spreads illness."
"114","31-9093","31-9093.00","Medical Equipment Preparers"," 4292","Get medical tools ready for steam cleaning. Clean tools before putting them in machines.",NA,NA
"115","31-9093","31-9093.00","Medical Equipment Preparers"," 4291","Put medical tools used for surgery on trays. Put them in the right order. Make sure tools and trays are germ-free.","germ","A tiny living thing that spreads illness."
"116","31-9095","31-9095.00","Pharmacy Aides"," 2052","Use a cash register to make cash and credit sales.",NA,NA
"117","31-9095","31-9095.00","Pharmacy Aides"," 2046","Answer questions over the phone. Pass on calls to the pharmacist when needed.","pharmacist","A person with a license to give out drugs and medicine."
"118","31-9095","31-9095.00","Pharmacy Aides"," 2050","Get labels ready for prescribed drugs. Type or print labels. Use a computer.","prescribed","Ordered by a doctor."
"119","33-3011","33-3011.00","Bailiffs","20123","Screen people going into a courthouse. Use metal detectors, x-rays, and more. Check for weapons and other items not allowed in court.","screen","Check carefully."
"120","33-3011","33-3011.00","Bailiffs","20125","Make sure the courtroom is safe and clean. Make sure there are supplies such as pens and notepads on hand.",NA,NA
"121","33-3011","33-3011.00","Bailiffs","20128","Keep the court docket up to date.","docket","The list of cases waiting to go to trial."
"122","33-3012","33-3012.00","Correctional Officers and Jailers","15253","Make sure inmates are behaving and following rules. Watch them in all settings. Make sure there are no escapes or violence.",NA,NA
"123","33-3012","33-3012.00","Correctional Officers and Jailers"," 2113","Give inmates tasks to do. Show them how to do tasks, if needed.",NA,NA
"124","33-3012","33-3012.00","Correctional Officers and Jailers"," 2104","Check mail for items that are not allowed.",NA,NA
"125","33-9011","33-9011.00","Animal Control Workers"," 7963","Care for animals. Give them food and water.",NA,NA
"126","33-9011","33-9011.00","Animal Control Workers"," 7964","Clean dog pens and animal control trucks. Clean places where animals are kept.",NA,NA
"127","33-9011","33-9011.00","Animal Control Workers"," 7966","Teach the public about animal control laws and rules. Teach the public how to care for animals.",NA,NA
"128","33-9032","33-9032.00","Security Guards"," 2133","Keep track of people coming and going from a site. Guard against theft. Make sure the area is safe and protected.",NA,NA
"129","33-9032","33-9032.00","Security Guards"," 2134","Write daily reports about problems that happen on site. Note any damage or theft that takes place. Note any people or events that are unusual.","unusual","Not normal."
"130","33-9032","33-9032.00","Security Guards"," 2141","Check security systems, equipment, and machines. Make sure they are working right. Make sure no one tries to stop them from working.",NA,NA
"131","33-9091","33-9091.00","Crossing Guards","11118","Guide traffic and people. Make sure everyone can cross traffic safely. Work at road and railroad crossings, schools, and building sites.",NA,NA
"132","33-9091","33-9091.00","Crossing Guards","11122","Direct traffic using hands, signs, and lights. Warn about risks and guide traffic safely past them.",NA,NA
"133","33-9091","33-9091.00","Crossing Guards","11124","Stop drivers who are speeding. Warn them about traffic laws.",NA,NA
"134","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"," 5041","Check to make sure recreation sites are safe. Check places such as trails, ski slopes, and swimming spots. Work on foot, in vehicles, or from towers.","recreation","A fun pastime."
"135","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"," 5041","Check to make sure recreation sites are safe. Check places such as trails, ski slopes, and swimming spots. Work on foot, in vehicles, or from towers.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"136","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","20129","Make sure the quality of pool water is correct. Test the level of chemicals.",NA,NA
"137","33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"," 5049","Watch how people are acting and make sure they stay safe. Use binoculars. Check for risks, problems, and rule breaking.","binoculars","Equipment you look through to make far-away objects look closer and bigger."
"138","35-1012","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers","18715","Help clean kitchen and dining places. Watch other workers to make sure they clean up those places.",NA,NA
"139","35-1012","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers"," 2154","Tell workers how much food to prepare and serve, in what order and when. Plan how to set up workstations and equipment.",NA,NA
"140","35-1012","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers"," 2156","Greet and seat guests. Give them menus and wine lists.","menu","A listing of foods that people can buy at a restaurant."
"141","35-2012","35-2012.00","Cooks, Institution and Cafeteria"," 9492","Keep track of food use. Gather and update records.",NA,NA
"142","35-2012","35-2012.00","Cooks, Institution and Cafeteria"," 9490","Keep track of government food supplies. Make sure they are used the right way and that rules are followed.",NA,NA
"143","35-2012","35-2012.00","Cooks, Institution and Cafeteria"," 9497","Check menus and spending to make sure costs stay low.","menu","A listing of foods served."
"144","35-2014","35-2014.00","Cooks, Restaurant"," 2169","Turn or stir foods so they cook in an even way.",NA,NA
"145","35-2014","35-2014.00","Cooks, Restaurant"," 2170","Cook and flavor food with salt, pepper, herbs, and more. Follow recipes and make choices based on your learning and know-how.","recipe","Instructions that tell you how to make a meal."
"146","35-2014","35-2014.00","Cooks, Restaurant"," 2173","Arrange food on plates so that it looks good. Make sure the right amount is served. Give plates to waiters or diners.","arrange","Put something in order; fit together."
"147","35-3011","35-3011.00","Bartenders"," 2223","Collect money owed for drinks.",NA,NA
"148","35-3011","35-3011.00","Bartenders"," 2228","Take drink orders from serving staff or customers.",NA,NA
"149","35-3011","35-3011.00","Bartenders"," 2229","Serve wine and beer.",NA,NA
"150","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers"," 9515","Make sure cleaners do their tasks well. Help clean, if needed.",NA,NA
"151","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers"," 9512","Explain how to stop the spread of germs in places like hospitals. Make sure those steps are followed.","germ","A tiny living thing that spreads illness."
"152","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers"," 9533","Run in-house laundry, dry-cleaning, and valet services. Make sure workers do their tasks well.","valet","Parking."
"153","37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers"," 9533","Run in-house laundry, dry-cleaning, and valet services. Make sure workers do their tasks well.","services","Helpful acts, things that are done for other people."
"154","37-2011","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners"," 9540","Clean floors. Sweep, mop, wash, or vacuum.",NA,NA
"155","37-2011","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners"," 9541","Use chemical cleaners and power equipment. Follow rules to make sure nothing gets damaged.",NA,NA
"156","37-2011","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners"," 9542","Mix water with soap or acid to make cleansers. Mix them in containers. Follow guidelines.","cleanser","Something that cleans, like soap."
"157","37-2012","37-2012.00","Maids and Housekeeping Cleaners"," 9561","Clean rooms, hallways, stairways, and other work areas. Make sure health standards are met.",NA,NA
"158","37-2012","37-2012.00","Maids and Housekeeping Cleaners"," 9563","Refill supplies in guest rooms. Those include drinking glasses, sheets, bathroom items, and more.","refill","To fill again."
"159","37-2012","37-2012.00","Maids and Housekeeping Cleaners"," 9566","Sweep, scrub, wax, or polish floors. Use brooms, mops, or scrubbing and waxing machines.",NA,NA
"160","37-2021","37-2021.00","Pest Control Workers"," 7974","Keep a record of what work tasks have been done.",NA,NA
"161","37-2021","37-2021.00","Pest Control Workers","20759","Tell people how to treat and prevent pest problems.","pests","Animals that are hard to control. They are often small animals like fleas, bedbugs, and mice."
"162","37-2021","37-2021.00","Pest Control Workers","20759","Tell people how to treat and prevent pest problems.","prevent","To keep from happening."
"163","37-2021","37-2021.00","Pest Control Workers"," 7979","Drive a truck that has equipment for power spraying.",NA,NA
"164","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","11227","Fill sprayer tanks with water and chemicals. Follow guidelines to get the right mix.",NA,NA
"165","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","11232","Connect the hoses and nozzles needed to treat a pest problem. Pick hoses and nozzles that match the place and pests you are treating.","pests","Animals that are hard to control. They are often small animals like fleas, bedbugs, and mice."
"166","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","11232","Connect the hoses and nozzles needed to treat a pest problem. Pick hoses and nozzles that match the place and pests you are treating.","nozzle","The spout or opening through which something sprays."
"167","37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","11233","Clean or fix equipment so it works well. Use water, gas, oil, grease, or hand tools.",NA,NA
"168","37-3013","37-3013.00","Tree Trimmers and Pruners","13115","Clean, sharpen, and oil tools and equipment.",NA,NA
"169","37-3013","37-3013.00","Tree Trimmers and Pruners","13118","Trim, cut down, feed, and spray trees. Follow the orders of a tree surgeon.","tree surgeon","A person who treats damaged or diseased trees."
"170","37-3013","37-3013.00","Tree Trimmers and Pruners","13120","Run shredding and chipping machines. Feed branches and other wood into the machines.","shredding and chipping","Tearing or cutting into small pieces."
"171","39-1011","39-1011.00","Gaming Supervisors"," 4412","Watch over gaming areas. Make sure house rules are followed. Make sure tribal, state, and national laws are followed. Make sure workers do their jobs well.",NA,NA
"172","39-1011","39-1011.00","Gaming Supervisors"," 4413","Make sure gamblers do not cheat. Make sure no one marks, switches, or counts cards. Alert security staff to any cheating.",NA,NA
"173","39-1011","39-1011.00","Gaming Supervisors"," 4418","Make and run banks and table limits for each game.",NA,NA
"174","39-1012","39-1012.00","Slot Supervisors"," 4435","Respond to and solve players’ complaints.","complaint","Reason someone is not happy or pleased."
"175","39-1012","39-1012.00","Slot Supervisors"," 4437","Reset slot machines after they have paid out winnings.",NA,NA
"176","39-1012","39-1012.00","Slot Supervisors"," 4436","Walk through certain parts of the gaming floor. Make sure players are following rules. Make sure machines are working well.",NA,NA
"177","39-2011","39-2011.00","Animal Trainers"," 7993","Talk to and handle animals. Get them used to human voices or contact.",NA,NA
"178","39-2011","39-2011.00","Animal Trainers"," 7999","Train horses to carry riders or pull carts. Use spoken or hand commands. Use riding equipment.",NA,NA
"179","39-2011","39-2011.00","Animal Trainers"," 8000","Put riding gear onto horses. Get horses used to the feel of equipment.",NA,NA
"180","39-3011","39-3011.00","Gaming Dealers"," 4447","Deal cards and figure out who is the winner.",NA,NA
"181","39-3011","39-3011.00","Gaming Dealers"," 4445","Give out cash for gaming chips. Give out dollars for coins.",NA,NA
"182","39-3011","39-3011.00","Gaming Dealers"," 4449","Make sure all players have placed their bets before play begins.",NA,NA
"183","39-3012","39-3012.00","Gaming and Sports Book Writers and Runners"," 8012","Run gambling tables or games of chance. Those include dice, cards, and more. Make sure game rules are followed.",NA,NA
"184","39-3012","39-3012.00","Gaming and Sports Book Writers and Runners"," 8016","Give out cash for gaming chips. Give out dollars for coins.",NA,NA
"185","39-3012","39-3012.00","Gaming and Sports Book Writers and Runners"," 8011","Make sure all players have placed their bets before play begins.",NA,NA
"186","39-3031","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers"," 5096","Greet people at entertainment events.","entertainment","Film, TV, music, dance, plays, and other performing arts that amuse people."
"187","39-3031","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers","20764","Sell or take entry tickets and passes.",NA,NA
